"Processor","Word","Data_Type","ProcessValue","SignalName","Percentage","Percentage_value"
"FLGx","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"FLGx","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"FLGx","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"FLGx","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"FLGx","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"FLGx","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"FLGx","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"FLGx","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"FLGx","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"FLGx","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"SLG1","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"SLG1","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"SLG1","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"SLG1","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"SLG1","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"SLG1","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"SLG1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"SLG1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 10kV","10 kV"
"SLG1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"SLG1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"SLG2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"SLG2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"SLG2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"SLG2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"SLG2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"SLG2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"SLG2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
