"Ref_bit","Bit","ProcessValue","SignalName"
"1","1","Status :Cab 1 activated","MCab1Active"
"2","2","Status :Cab 2 activated","MCab2Active"
"3","3","Driver's command : Panto up","LPanUpWish"
"4","4","Driver's command : Panto down","LPanDnWish"
"5","5","Status : VCB closed this loco","MVCB-On"
"6","6","RESERVE",""
"7","7","Emergency STOP P/B pressed","MEmgStopShDn"
"8","8","Status : Pressure switch emergency brakes","MPrSwEmgBk"
"9","9","Status : Driving forward","BDrivDirec1"
"10","10","Status : Driving reverse","BDrivDirec2"
"11","11","Status : Hotel load contactor on","MContHotel"
"12","12","Status : Start/running interlock","MS/RIntrLoc"
"13","13","Status : Constant speed control active","BSpeedConOn"
"14","14","Status : TE limit switch active (CoCo)","BMaxTElimit"
"15","15","Brake Pressure Cylinder 1","MPrSwBkCyl1"
"16","16","Brake Pressure Cylinder 2","MPrSwBkCyl2"
"17","1","Status : Harmonic filter on","MFiltOn"
"18","2","Status : Filter adaptation contactor on","MFiltAdpOn"
"19","3","Status : Filter discharge contactor on","MFiltDchOn"
"20","4","Status : VCB closed other loco","MVCB-On"
"21","5","RESERVE",""
"22","6","Failure mode operation","BFailMode"
"23","7","Banking operation","MSwBankOpOn"
"24","8","Status : Brake electronics on","MBkElecFail ( inverted )"
"25","9","Vigilance penalty brakes","MEmgBkVig"
"26","10","Status : This loco master in MU","MTbMaster"
"27","11","Status : MU operation","MMultOp"
"28","12","RESERVE",""
"29","13","Status : Bogie 1 isolated","BSubS02-Off"
"30","14","Status : Bogie 2 isolated","BSubS03-Off"
"31","15","RESERVE",""
"32","16","RESERVE",""
