"Processor","Word","Data_Type","ProcessValue","SignalName","Percentage","Percentage_value"
"SLG1","15","Analog","Reference TE/BE","9057-WAZBKR-DG1","100% =100 kN","100 kN"
"SLG1","16","Analog","Actual TE/BE","9003-XAZBK-DG1-F","100% =100 kN","100 kN"
"SLG1","17","Analog","Actual DC link voltage","ASC1-XAUD","100% =1 kV","1 kV"
"SLG1","18","Analog","Actual speed axle 1","9011-XVist-DG1","100% =100 km/h","100 km/h"
"SLG1","19","Analog","Actual Filter Current","0104-XAIFilt","100% =1000 A","1000 A"
"SLG1","20","Analog","Actual Line Frequency","NSC1-XAfUN","100% =10 Hz","10 Hz"
"SLG1","21","Analog","Maximum Temperature Motor 1","8802-XAkTmpM1Max","100% =100 °C","100 °C"
"SLG1","22","Analog","Maximum Temperature Motor 2","8811-XAkTmpM1Max","100% =100 °C","100 °C"
"SLG1","23","Analog","Maximum Temperature Motor 3","8841-XAkTmpM1Max","100% =100 °C","100 °C"
"BUR1","14","Analog","Traction link voltage","7303-XUUN","10%=125V","1250 V"
"BUR1","15","Analog","DC link voltage","7303-XUUZ1","10%=100V","1000 V"
"BUR1","16","Analog","DC link current","7303-XUIZ1","10%=50A","500 A"
"BUR1","17","Integer","Sub-flow-chart node","0893-XSubNode","",""
"BUR1","18","Analog","Inverter frequency","7601-WVentiFreq","10% = 10Hz","100 Hz"
"BUR2","14","Analog","Traction link voltage","7303-XUUN","10%=125V","1250 V"
"BUR2","15","Analog","DC link voltage","7303-XUUZ1","10%=100V","1000 V"
"BUR2","16","Analog","DC link current","7303-XUIZ1","10%=50A","500 A"
"BUR2","17","Analog","Battery voltage","7303-XUUB1","10%=30V","100 V"
"BUR2","18","Analog","Battery current","7303-XUIB1","10%=100A","1000 A"
"BUR2","19","Analog","Battery charging current","7303-XUILG1","10%=100A","1000 A"
"BUR2","20","Integer","Sub-flow-chart node","0893-XSubNode","",""
"BUR2","21","Analog","Inverter frequency","7601-WVntCmpFreq","10% = 10Hz","100 Hz"
"BUR3","14","Analog","Traction link voltage","7303-XUUN","10%=125V","1250 V"
"BUR3","15","Analog","DC link voltage","7303-XUUZ1","10%=100V","1000 V"
"BUR3","16","Analog","DC link current","7303-XUIZ1","10%=50A","500 A"
"BUR3","17","Analog","Battery voltage","7303-XUUB1","10%=30V","100 V"
"BUR3","18","Analog","Battery current","7303-XUIB1","10%=100A","1000 A"
"BUR3","19","Analog","Battery charging current","7303-XUILG1","10%=100A","1000 A"
"BUR3","20","Integer","Sub-flow-chart node","0893-XSubNode","",""
"BUR3","21","Analog","Inverter frequency","7601-WComprFreq","10% = 10Hz","100 Hz"
"SLG2","14","Hex","Reference node ALG","0855-Wmode","",""
"SLG2","15","Analog","Reference TE/BE","9057-WAZBKR-DG2","100% =100 kN","100 kN"
"SLG2","16","Analog","Actual TE/BE","9003-XAZBK-DG2-F","100% =100 kN","100 kN"
"SLG2","17","Analog","Actual DC link voltage","ASC2-XAUD","100% =1 kV","1 kV"
"SLG2","18","Analog","Actual speed axle 1","9011-XVist-DG2","100% =100 km/h","100 km/h"
"SLG2","19","Analog","Actual Filter Current","0104-XAIFilt","100% =1000 A","1000 A"
"SLG2","20","Analog","Actual Line Frequency","NSC2-XAfUN","100% =10 Hz","10 Hz"
"SLG2","21","Analog","Maximum Temperature Motor 1","8802-XAkTmpM1Max","100% =100 °C","100 °C"
"SLG2","22","Analog","Maximum Temperature Motor 2","8811-XAkTmpM1Max","100% =100 °C","100 °C"
"SLG2","23","Analog","Maximum Temperature Motor 3","8841-XAkTmpM1Max","100% =100 °C","100 °C"
"FLGx","","Analog","Current for oil cooling blower","0102-XIOCB-FLGn (n = 1, 2)","100% = 100A","100 A"
"SLG1","14","Hex","Reference node ALG","0855-Wmode","",""
