"Processor","Bit","ProcessValue","SignalName"
"FLGx","10","HASH_SLG1_85_MFilt2Bogie","SLG1 Filter 2 Bogies"
"FLGx","11","HASH_SLG2_85_MFiltMast","SLG2 Filter Master"
"FLGx","12","HASH_SLG2_85_MFilt1Bogie","SLG2 Filter 1 Bogie"
"FLGx","13","HASH_SLG2_85_MFilt2Bogie","SLG2 Filter 2 Bogies"
"STB2","1","Pan 2 raised","3104-BEPPan2"
"STB2","2","Pressure - Brake cylinder bogie 1 > 0.6 Kg/cm sq","01-MPrSwBkCyl1"
"STB2","3","Pressure Pan 1","01-MPrSwPan1"
"STB2","4","Pressure Pan 2","01-MPrSwPan2"
"HBB1","1","Detection : Loco CoCo","01-BDetCoCo"
"HBB1","2","Model","01-MBEFModel"
"HBB1","3","Compressor 1 on","6303-BContCompr1"
"HBB1","4","Compressor 2 on","63-BContCompr2"
"HBB1","5","VCB on","32-MVCB-On"
"HBB1","6","Buzzer Cab 1- Black on","2501-BBuzCab1B"
"HBB1","7","Buzzer Cab 1- Red on","2501-BBuzCab1R"
"HBB1","8","VCB off without disturbance","32-MVCBOfWoDis"
"HBB1","9","VCB off with disturbance","32-MVCBOfWiDis"
"HBB2","1","Pressure Pan 1","01-MPrSwPan1"
"HBB2","2","Pressure Pan 2","01-MPrSwPan2"
"HBB2","3","Compressor 1 on","63-BContCompr1"
"HBB2","4","Compressor 2 on","6304-BContCompr2"
"HBB2","5","Parking brakes applied","44-MParkBkApp"
"HBB2","6","Vigilance control disabled","3401-BVigContro"
"HBB2","7","Pan 1 raised","3104-BEPPan1"
"HBB2","8","Buzzer Cab 2- Black on","2501-BBuzCab2B"
"HBB2","9","Buzzer Cab 2- Red on","2501-BBuzCab2R"
"HBB2","10","Pressure - Brake cylinder bogie 2 > 0.6 Kg/cm sq","01-MPrSwBkCyl2"
"SLG1","1","Message GUSP On","8601-MGUSPEin"
"SLG1","2","Message precharging contactor close","8701-MLdSEin"
"SLG1","3","Message converter contactor close","8702-MSRS1-3Ein"
"SLG1","4","Message adhesion control active","9057-MAdhRgAk-Al"
"SLG1","5","Message VCB On fast","3202-MHsAnHspEin"
"SLG1","6","Message protective turn off - internal","0844-MSAintern"
"SLG1","7","Message protective turn off - external","0844-MSAextern"
"SLG1","8","Message protective turn off - ASC","ASC1*MSA-ASC"
"SLG1","9","Message protective turn off - NSC","NSC1*MSA-NSC"
"SLG1","10","Message contactor filter (8.1) On","8504-MFiltOn"
"SLG1","11","Message contactor filter adaption (8.2) 0n","8503-MFiltAdpOn"
"SLG1","12","Message contactor filter discharging (8.41) Off","8502-MFiltDchOff"
"SLG1","13","Command TE/BE=0 with ramp","0954-BZBK=0Rampe"
"SLG1","14","Command pulse inhibition (direct)","0953-BTS"
"SLG1","15","Command VCB Off ( direct )","0952-BHSaus"
"SLG1","16","Command protective turn off ( direct )","0951-BSA"
"BUR1","1","BUR1 switch-on","7401-BDBUR1-ON"
"BUR1","2","Contactor release","7401-BConRelease"
"BUR2","1","BUR2 switch-on","7401-BDBUR2-ON"
"BUR2","2","Contactor release","7401-BConRelease"
"BUR2","3","Battery charging and compressor on","7401-BDBL-2-ON"
"BUR3","1","BUR3 switch-on","7401-BDBUR3-ON"
"BUR3","2","Contactor release","7401-BConRelease"
"BUR3","3","Battery charging and compressor on","7401-BDBL-3-ON"
"SLG2","1","Message GUSP On","8601-MGUSPEin"
"SLG2","2","Message precharging contactor close","8701-MLdSEin"
"SLG2","3","Message converter contactor close","8702-MSRS1-3Ein"
"SLG2","4","Message adhesion control active","9057-MAdhRgAk-Al"
"SLG2","5","Message VCB On fast","3202-MHsAnHspEin"
"SLG2","6","Message protective turn off - internal","0844-MSAintern"
"SLG2","7","Message protective turn off - external","0844-MSAextern"
"SLG2","8","Message protective turn off - ASC","ASC1*MSA-ASC"
"SLG2","9","Message protective turn off - NSC","NSC1*MSA-NSC"
"SLG2","10","Message contactor filter (8.1) On","8504-MFiltOn"
"SLG2","11","Message contactor filter adaption (8.2) 0n","8503-MFiltAdpOn"
"SLG2","12","Message contactor filter discharging (8.41) Off","8502-MFiltDchOff"
"SLG2","13","Command TE/BE=0 with ramp","0954-BZBK=0Rampe"
"SLG2","14","Command pulse inhibition (direct)","0953-BTS"
"SLG2","15","Command VCB Off ( direct )","0952-BHSaus"
"SLG2","16","Command protective turn off ( direct )","0951-BSA"
"","","",""
"STB1","1","VCB On","32-MVCB-On"
"STB1","2","CoCo software on the loco","01-BDetCoCo"
"STB1","3","VCB off without disturbance","32-MVCBOfWoDis"
"STB1","4","VCB off with disturbance","32-MVCBOfWiDis"
"FLGx","1","Loco in trailing mode","54-MTrailMode"
"FLGx","2","Loco in emergency mode","54-MEmgMode"
"FLGx","3","Loco in simulation mode","18-Bsimulation"
"FLGx","4","VCB Off with disturbance","06-BVCBOfWiDis"
"FLGx","5","Disturbance without VCB off","5494-MDisWoVCBOf"
"FLGx","6","_85_8505_BFilt2Bogie","FLG1 Filter 2 Bogies"
"FLGx","7","_85_8505_BFilt1Bogie","FLG1 Filter 1 Bogie"
"FLGx","8","HASH_SLG1_85_MFiltMast","SLG1 Filter Master"
"FLGx","9","HASH_SLG1_85_MFilt1Bogie","SLG1 Filter 1 Bogie"
